#session_id	session_type	unit	ecephys_structure_acronym	stimulus	stimulus_blocks	block_durations	rec_len	firing_rates	ret_msg
766640955	functional_connectivity	950931049	LP	natural_movie_one_more_repeats	3.0	900.75	898.19	2.65	SUCCESS
766640955	functional_connectivity	950931049	LP	natural_movie_one_more_repeats	8.0	900.75	898.32	5.11	SUCCESS
766640955	functional_connectivity	950923082	LP	natural_movie_one_more_repeats	3.0	900.75	900.72	6.03	SUCCESS
766640955	functional_connectivity	950923082	LP	natural_movie_one_more_repeats	8.0	900.75	900.2	7.51	SUCCESS
766640955	functional_connectivity	950923126	LP	natural_movie_one_more_repeats	3.0	900.75	900.59	8.95	SUCCESS
766640955	functional_connectivity	950923126	LP	natural_movie_one_more_repeats	8.0	900.75	900.2	12.32	SUCCESS
766640955	functional_connectivity	950923112	LP	natural_movie_one_more_repeats	3.0	900.75	900.68	9.99	SUCCESS
766640955	functional_connectivity	950923112	LP	natural_movie_one_more_repeats	8.0	900.75	900.66	14.94	SUCCESS
766640955	functional_connectivity	950923187	LP	natural_movie_one_more_repeats	3.0	900.75	900.16	7.27	SUCCESS
766640955	functional_connectivity	950923187	LP	natural_movie_one_more_repeats	8.0	900.75	900.11	10.14	SUCCESS
766640955	functional_connectivity	950923250	LP	natural_movie_one_more_repeats	3.0	900.75	900.41	7.33	SUCCESS
766640955	functional_connectivity	950923250	LP	natural_movie_one_more_repeats	8.0	900.75	900.65	13.99	SUCCESS
766640955	functional_connectivity	950923237	LP	natural_movie_one_more_repeats	3.0	900.75	900.22	6.56	SUCCESS
766640955	functional_connectivity	950923237	LP	natural_movie_one_more_repeats	8.0	900.75	900.05	8.06	SUCCESS
766640955	functional_connectivity	950923411	LP	natural_movie_one_more_repeats	3.0	900.75	900.23	6.94	SUCCESS
766640955	functional_connectivity	950923411	LP	natural_movie_one_more_repeats	8.0	900.75	900.68	9.65	SUCCESS
766640955	functional_connectivity	950923381	LP	natural_movie_one_more_repeats	3.0	900.75	900.23	12.3	SUCCESS
766640955	functional_connectivity	950923381	LP	natural_movie_one_more_repeats	8.0	900.75	900.69	15.61	SUCCESS
766640955	functional_connectivity	950923327	LP	natural_movie_one_more_repeats	3.0	900.75	900.4	6.2	SUCCESS
766640955	functional_connectivity	950923327	LP	natural_movie_one_more_repeats	8.0	900.75	900.31	6.65	SUCCESS
766640955	functional_connectivity	950923314	LP	natural_movie_one_more_repeats	3.0	900.75	898.81	7.39	SUCCESS
766640955	functional_connectivity	950923314	LP	natural_movie_one_more_repeats	8.0	900.75	899.83	11.11	SUCCESS
766640955	functional_connectivity	950923487	LP	natural_movie_one_more_repeats	3.0	900.75	900.47	6.25	SUCCESS
766640955	functional_connectivity	950923487	LP	natural_movie_one_more_repeats	8.0	900.75	900.69	11.09	SUCCESS
766640955	functional_connectivity	950923472	LP	natural_movie_one_more_repeats	3.0	900.75	900.55	11.73	SUCCESS
766640955	functional_connectivity	950923472	LP	natural_movie_one_more_repeats	8.0	900.75	900.6	12.6	SUCCESS
766640955	functional_connectivity	950923442	LP	natural_movie_one_more_repeats	3.0	900.75	900.65	16.52	SUCCESS
766640955	functional_connectivity	950923442	LP	natural_movie_one_more_repeats	8.0	900.75	900.65	21.26	SUCCESS
766640955	functional_connectivity	950923428	LP	natural_movie_one_more_repeats	3.0	900.75	900.55	6.05	SUCCESS
766640955	functional_connectivity	950923428	LP	natural_movie_one_more_repeats	8.0	900.75	900.5	6.5	SUCCESS
766640955	functional_connectivity	950923299	LP	natural_movie_one_more_repeats	3.0	900.75	900.31	5.18	SUCCESS
766640955	functional_connectivity	950923299	LP	natural_movie_one_more_repeats	8.0	900.75	900.56	6.27	SUCCESS
766640955	functional_connectivity	950923631	LP	natural_movie_one_more_repeats	3.0	900.75	899.73	5.03	SUCCESS
766640955	functional_connectivity	950923631	LP	natural_movie_one_more_repeats	8.0	900.75	900.56	11.94	SUCCESS
766640955	functional_connectivity	950923616	LP	natural_movie_one_more_repeats	3.0	900.75	900.52	4.87	SUCCESS
766640955	functional_connectivity	950923616	LP	natural_movie_one_more_repeats	8.0	900.75	900.3	10.98	SUCCESS
766640955	functional_connectivity	950923571	LP	natural_movie_one_more_repeats	3.0	900.75	899.33	6.66	SUCCESS
766640955	functional_connectivity	950923571	LP	natural_movie_one_more_repeats	8.0	900.75	900.62	7.23	SUCCESS
766640955	functional_connectivity	950923560	LP	natural_movie_one_more_repeats	3.0	900.75	899.97	10.17	SUCCESS
766640955	functional_connectivity	950923560	LP	natural_movie_one_more_repeats	8.0	900.75	899.7	9.65	SUCCESS
766640955	functional_connectivity	950923517	LP	natural_movie_one_more_repeats	3.0	900.75	899.24	5.75	SUCCESS
766640955	functional_connectivity	950923517	LP	natural_movie_one_more_repeats	8.0	900.75	898.21	8.19	SUCCESS
766640955	functional_connectivity	950923709	LP	natural_movie_one_more_repeats	3.0	900.75	899.97	7.88	SUCCESS
766640955	functional_connectivity	950923709	LP	natural_movie_one_more_repeats	8.0	900.75	900.63	10.1	SUCCESS
766640955	functional_connectivity	950923693	LP	natural_movie_one_more_repeats	3.0	900.75	900.5	7.66	SUCCESS
766640955	functional_connectivity	950923693	LP	natural_movie_one_more_repeats	8.0	900.75	900.5	12.25	SUCCESS
766640955	functional_connectivity	950923677	LP	natural_movie_one_more_repeats	3.0	900.75	900.01	9.05	SUCCESS
766640955	functional_connectivity	950923677	LP	natural_movie_one_more_repeats	8.0	900.75	900.56	14.7	SUCCESS
766640955	functional_connectivity	950923662	LP	natural_movie_one_more_repeats	3.0	900.75	900.73	6.47	SUCCESS
766640955	functional_connectivity	950923662	LP	natural_movie_one_more_repeats	8.0	900.75	900.1	11.45	SUCCESS
766640955	functional_connectivity	950923762	LP	natural_movie_one_more_repeats	3.0	900.75	900.46	7.17	SUCCESS
766640955	functional_connectivity	950923762	LP	natural_movie_one_more_repeats	8.0	900.75	900.46	10.89	SUCCESS
766640955	functional_connectivity	950923903	LP	natural_movie_one_more_repeats	3.0	900.75	900.72	15.3	SUCCESS
766640955	functional_connectivity	950923903	LP	natural_movie_one_more_repeats	8.0	900.75	900.42	17.84	SUCCESS
766640955	functional_connectivity	950923892	LP	natural_movie_one_more_repeats	3.0	900.75	899.58	5.73	SUCCESS
766640955	functional_connectivity	950923892	LP	natural_movie_one_more_repeats	8.0	900.75	900.67	7.08	SUCCESS
